country	actual name	diacritics removed	standardised
SLE	Bo	Bo	Bo
SLE	Bombali	Bombali	Bombali
SLE	Bonthe	Bonthe	Bonthe
SLE	Kailahun	Kailahun	Kailahun
SLE	Kambia	Kambia	Kambia
SLE	Kenema	Kenema	Kenema
SLE	Koinadugu	Koinadugu	Koinadugu
SLE	Kono	Kono	Kono
SLE	Moyamba	Moyamba	Moyamba
SLE	Port Loko	Port Loko	PortLoko
SLE	Pujehun	Pujehun	Pujehun
SLE	Tonkolili	Tonkolili	Tonkolili
SLE	Western Rural	Western Rural	WesternRural
SLE	Western Urban	Western Urban	WesternUrban
LBR	Bomi	Bomi	Bomi
LBR	Bong	Bong	Bong
LBR	Gbarpolu	Gbarpolu	Gbarpolu
LBR	Grand Bassa	GrandBassa	GrandBassa
LBR	Grand Cape Mount	Grand Cape Mount	GrandCapeMount
LBR	Grand Gedeh	GrandGedeh	GrandGedeh
LBR	Grand Kru	GrandKru	GrandKru
LBR	Lofa	Lofa	Lofa
LBR	Margibi	Margibi	Margibi
LBR	Maryland	Maryland	Maryland
LBR	Montserrado	Montserrado	Montserrado
LBR	Nimba	Nimba	Nimba
LBR	River Cess	River Cess	RiverCess
LBR	River Gee	River Gee	RiverGee
LBR	Sinoe	Sinoe	Sinoe
GIN	Beyla	Beyla	Beyla
GIN	Boffa	Boffa	Boffa
GIN	Boké	Boke	Boke
GIN	Conakry	Conakry	Conakry
GIN	Coyah	Coyah	Coyah
GIN	Dabola	Dabola	Dabola
GIN	Dalaba	Dalaba	Dalaba
GIN	Dinguiraye	Dinguiraye	Dinguiraye
GIN	Dubréka	Dubreka	Dubreka
GIN	Faranah	Faranah	Faranah
GIN	Forécariah	Forecariah	Forecariah
GIN	Fria	Fria	Fria
GIN	Gaoual	Gaoual	Gaoual
GIN	Guéckédou	Gueckedou	Gueckedou
GIN	Kankan	Kankan	Kankan
GIN	Kérouané	Kerouane	Kerouane
GIN	Kindia	Kindia	Kindia
GIN	Kissidougou	Kissidougou	Kissidougou
GIN	Koubia	Koubia	Koubia
GIN	Koundara	Koundara	Koundara
GIN	Kouroussa	Kouroussa	Kouroussa
GIN	Labé	Labe	Labe
GIN	Lélouma	Lelouma	Lelouma
GIN	Lola	Lola	Lola
GIN	Macenta	Macenta	Macenta
GIN	Mali	Mali	Mali
GIN	Mamou	Mamou	Mamou
GIN	Mandiana	Mandiana	Mandiana
GIN	Nzérékoré	Nzerekore	Nzerekore
GIN	Pita	Pita	Pita
GIN	Siguiri	Siguiri	Siguiri
GIN	Télimélé	Telimele	Telimele
GIN	Tougué	Tougue	Tougue
GIN	Yamou	Yamou	Yamou
SEN	Kédougou	Kedougou	Kedougou
SEN	Salémata	Salemata	Salemata
SEN	Saraya	Saraya	Saraya
SEN	Vélingara	Velingara	Velingara
SEN	Tambacounda	Tambacounda	Tambacounda
MLI	Kéniéba	Kenieba	Kenieba
MLI	Kita	Kita	Kita
MLI	Kangaba	Kangaba	Kangaba
MLI	Kati	Kati	Kati
MLI	Yanfolila	Yanfolila	Yanfolila
GNB	Gabú	Gabu	Gabu
GNB	Tombali	Tombali	Tombali
CIV	San-Pédro	SanPedro	SanPedro
CIV	Folon	Folon	Folon
CIV	Kabadougou	Kabadougou	Kabadougou
CIV	Cavally	Cavally	Cavally
CIV	Tonkpi	Tonkpi	Tonkpi
CIV	Bafing	Bafing	Bafing
